"Source Name","Date Accessed",URL,Name,Value,"Date Created","End Date/Time",Comment,"Data Source"
LogicalFileSet1,"2024-03-17 03:49:03 WAT",.google.com,AEC,"Ae3NU9OQA0od-BIMfbLmBtwtQlEBUkA9rHDo17YcJLDMDUHVXfBUlvmsi9w","2024-03-17 03:39:58 WAT","2024-09-13 03:39:58 WAT","Chrome Cookies",LogicalFileSet1
LogicalFileSet1,"2024-03-17 03:42:08 WAT",.google.com,SNID,"AOYECSqoEC6RpQoRq3rbxzaWS-yUfFqSlxoVhYU7HF8KZxUAacS3in2Hzf3y2OQw7Pql8UZJHOKn1cBSlgcdKMKHHvHX674h7mo","2024-03-17 03:40:48 WAT","2024-09-16 03:39:58 WAT","Chrome Cookies",LogicalFileSet1
LogicalFileSet1,"2024-03-17 03:40:57 WAT",.onesignal.com,__cf_bm,"Z.xwqKPg0EfBh1811z_J2TqxIRbUQJKNLvKrhfgOFiQ-1710646857-1.0.1.1-edVnwFNKkPO7pvtzejL.xx4eNv_daszdYet840Y_yzvHZHRE4wh9lL28tOV6zNkpk7nIJ4XV.eZC1ssu_JVhcw","2024-03-17 03:40:57 WAT","2024-03-17 04:10:57 WAT","Chrome Cookies",LogicalFileSet1
LogicalFileSet1,"2024-03-17 03:42:07 WAT",.businessday.ng,_cb,FjBbcCbraRXDGZaz2,"2024-03-17 03:40:57 WAT","2025-04-16 03:40:57 WAT","Chrome Cookies",LogicalFileSet1
LogicalFileSet1,"2024-03-17 03:42:07 WAT",.businessday.ng,_chartbeat2,".1710646857645.1710646857645.1.nrSmwvLjaI3TR2iBYioTFCkWvm_.1","2024-03-17 03:40:57 WAT","2025-04-16 03:40:57 WAT","Chrome Cookies",LogicalFileSet1
LogicalFileSet1,"2024-03-17 03:42:07 WAT",.businessday.ng,_cb_svref,"https%3A%2F%2Fwww.google.com%2F","2024-03-17 03:40:57 WAT","2024-03-17 04:10:57 WAT","Chrome Cookies",LogicalFileSet1
LogicalFileSet1,"2024-03-17 03:42:07 WAT",.businessday.ng,_ga,"GA1.1.1872749314.1710646858","2024-03-17 03:40:57 WAT","2026-03-17 03:40:57 WAT","Chrome Cookies",LogicalFileSet1
LogicalFileSet1,"2024-03-17 03:42:07 WAT",.businessday.ng,__gads,"ID=53d6add53377f120:T=1710646859:RT=1710646859:S=ALNI_Mbjff7LF8P6CCl1M8KIKJq5AyA9Tw","2024-03-17 03:40:59 WAT","2025-04-11 03:40:59 WAT","Chrome Cookies",LogicalFileSet1
LogicalFileSet1,"2024-03-17 03:42:07 WAT",.businessday.ng,__gpi,"UID=00000d4877823618:T=1710646859:RT=1710646859:S=ALNI_MbI0EXlz8qJq192OhwmSpyGGxkSOA","2024-03-17 03:40:59 WAT","2025-04-11 03:40:59 WAT","Chrome Cookies",LogicalFileSet1
LogicalFileSet1,"2024-03-17 03:42:07 WAT",.businessday.ng,__eoi,"ID=c5f43d85e875e13e:T=1710646859:RT=1710646859:S=AA-AfjZfXoTi-ymBVQJYvxgJYoCm","2024-03-17 03:40:59 WAT","2024-09-13 03:40:59 WAT","Chrome Cookies",LogicalFileSet1
LogicalFileSet1,"2024-03-17 03:41:01 WAT",.doubleclick.net,IDE,"AHWqTUm3UShbTopzWywLeP0NI4JpauFHnShXhh41r8AwnCbG4fChUK9lD71HzCdJXwo","2024-03-17 03:41:01 WAT","2026-03-17 03:41:01 WAT","Chrome Cookies",LogicalFileSet1
LogicalFileSet1,"2024-03-17 03:41:07 WAT",.adform.net,C,1,"2024-03-17 03:41:07 WAT","2024-04-17 03:41:07 WAT","Chrome Cookies",LogicalFileSet1
LogicalFileSet1,"2024-03-17 03:41:07 WAT",.creativecdn.com,g,"Twd7QTdlEOowLArOToQp_1710646867266","2024-03-17 03:41:07 WAT","2025-03-17 03:41:07 WAT","Chrome Cookies",LogicalFileSet1
LogicalFileSet1,"2024-03-17 03:41:07 WAT",.creativecdn.com,ts,1710646867,"2024-03-17 03:41:07 WAT","2025-03-17 03:41:07 WAT","Chrome Cookies",LogicalFileSet1
LogicalFileSet1,"2024-03-17 03:41:07 WAT",.uuidksinc.net,jcsuuid,mfjzGtSu2m9JXUMQmvHg,"2024-03-17 03:41:07 WAT","2025-03-17 03:41:07 WAT","Chrome Cookies",LogicalFileSet1
LogicalFileSet1,"2024-03-17 03:41:08 WAT",.doubleclick.net,DSID,NO_DATA,"2024-03-17 03:41:01 WAT","2024-03-17 04:41:08 WAT","Chrome Cookies",LogicalFileSet1
LogicalFileSet1,"2024-03-17 03:41:17 WAT","tempest.services.disqus.com",trc_cookie_storage,"taboola%2520global%253Auser-id%3Dca30cc05-3093-490c-ad61-6335a9bb27d9-tuctcefebdc","2024-03-17 03:41:17 WAT","2025-03-17 03:41:17 WAT","Chrome Cookies",LogicalFileSet1
LogicalFileSet1,"2024-03-17 03:41:17 WAT",.disqus.com,disqus_unique,ivtr5s120jb2t,"2024-03-17 03:41:17 WAT","2025-03-17 03:41:17 WAT","Chrome Cookies",LogicalFileSet1
LogicalFileSet1,"2024-03-17 03:41:17 WAT",disqus.com,__jid,j087japf3858,"2024-03-17 03:41:17 WAT","2024-03-17 04:11:17 WAT","Chrome Cookies",LogicalFileSet1
LogicalFileSet1,"2024-03-17 03:41:20 WAT",.a-mo.net,amuid2,"2a05bb39-b530-4c00-a87e-b3351c6e989a","2024-03-17 03:41:20 WAT","2025-03-17 03:41:20 WAT","Chrome Cookies",LogicalFileSet1
LogicalFileSet1,"2024-03-17 03:41:20 WAT",.prebid.a-mo.net,sd_amuid2,"2a05bb39-b530-4c00-a87e-b3351c6e989a","2024-03-17 03:41:20 WAT","2025-03-17 03:41:20 WAT","Chrome Cookies",LogicalFileSet1
LogicalFileSet1,"2024-03-17 03:41:21 WAT",.disqus.com,G_ENABLED_IDPS,google,"2024-03-17 03:41:21 WAT","9999-12-31 12:00:00 WAT","Chrome Cookies",LogicalFileSet1
LogicalFileSet1,"2024-03-17 03:41:21 WAT",.businessday.ng,_ga_KRZW6E45JP,"GS1.1.1710646857.1.1.1710646881.36.0.0","2024-03-17 03:41:21 WAT","2026-03-17 03:41:21 WAT","Chrome Cookies",LogicalFileSet1
LogicalFileSet1,"2024-03-17 03:41:21 WAT",.travelaudience.com,_tracker,"%7B%22UUID%22%3A%22D7D58F13-32E9-4D10-0558-44F1DD9BC7AC%22%7D","2024-03-17 03:41:21 WAT","2025-04-17 03:41:20 WAT","Chrome Cookies",LogicalFileSet1
LogicalFileSet1,"2024-03-17 03:41:22 WAT",imprammp.taboola.com,"amdgt_lk%40cfs",1,"2024-03-17 03:41:22 WAT","2024-03-17 09:41:22 WAT","Chrome Cookies",LogicalFileSet1
LogicalFileSet1,"2024-03-17 03:41:22 WAT",.businessday.ng,dsq__,j08gnqak25e6,"2024-03-17 03:41:22 WAT","2025-03-17 03:41:22 WAT","Chrome Cookies",LogicalFileSet1
LogicalFileSet1,"2024-03-17 03:41:22 WAT",.bidswitch.net,c,1710646882,"2024-03-17 03:41:22 WAT","2025-03-17 03:41:22 WAT","Chrome Cookies",LogicalFileSet1
LogicalFileSet1,"2024-03-17 03:41:23 WAT",.casalemedia.com,CMPS,1847,"2024-03-17 03:41:23 WAT","2024-06-15 03:41:23 WAT","Chrome Cookies",LogicalFileSet1
LogicalFileSet1,"2024-03-17 03:41:23 WAT",.bidswitch.net,tuuid,"4c003e47-2be7-494a-a5d6-9865a7875b12","2024-03-17 03:41:22 WAT","2025-03-17 03:41:23 WAT","Chrome Cookies",LogicalFileSet1
LogicalFileSet1,"2024-03-17 03:41:23 WAT",.bidswitch.net,tuuid_lu,1710646883,"2024-03-17 03:41:23 WAT","2025-03-17 03:41:23 WAT","Chrome Cookies",LogicalFileSet1
LogicalFileSet1,"2024-03-17 03:41:23 WAT",.prebid.a-mo.net,_sv3_9,1,"2024-03-17 03:41:23 WAT","2024-03-18 03:41:23 WAT","Chrome Cookies",LogicalFileSet1
LogicalFileSet1,"2024-03-17 03:41:23 WAT",.a-mx.com,amdt_t,p::1710646883096,"2024-03-17 03:41:23 WAT","2025-03-17 03:41:23 WAT","Chrome Cookies",LogicalFileSet1
LogicalFileSet1,"2024-03-17 03:41:23 WAT",.a-mx.com,amuid2,"2a05bb39-b530-4c00-a87e-b3351c6e989a","2024-03-17 03:41:23 WAT","2025-03-17 03:41:23 WAT","Chrome Cookies",LogicalFileSet1
